Number,Category,Query,Response
"1","Christianity-Basic","What are the four Gospels in the New Testament?","Ah, you're asking about the Gospels! They're Matthew, Mark, Luke, and John. Each one gives a unique perspective on the life, teachings, death, and resurrection of Jesus. Think of them like four friends each telling their version of the same amazing story!\n"
"2","Christianity-Basic","How many apostles did Jesus have?","Jesus had twelve apostles. They were his closest followers, handpicked to spread his message. You could think of them as the original team!\n"
"3","Christianity-Basic","What is the first book of the Bible?","The first book of the Bible is Genesis. It's where the story of creation begins, laying the foundation for everything else. A bit like the opening chapter of a grand adventure!\n"
"4","Christianity-Basic","Who baptized Jesus?","John the Baptist baptized Jesus in the Jordan River. It was a pivotal moment, marking the start of Jesus' ministry. Think of it as a symbolic washing away of the old, and stepping into something new!\n"
"5","Christianity-Basic","What is the holy day of worship for Christians?","For Christians, the holy day of worship is Sunday. It's the day they commemorate the resurrection of Jesus. A day for community, reflection, and spiritual nourishment.\n"
"6","Christianity-Basic","What is the symbol of Christianity?","The most common symbol of Christianity is the cross. It represents Jesus' sacrifice and the core beliefs of the faith. Simple, yet profound.\n"
"7","Christianity-Basic","Where was Jesus born?","Jesus was born in Bethlehem. It's a small town with a big place in the hearts of Christians around the world. A humble beginning for a story that changed the world.\n"
"8","Christianity-Basic","What is the Christian holy book called?","The Christian holy book is called the Bible. It's a collection of writings that hold deep meaning and guidance for Christians. It's like a spiritual library full of wisdom!\n"
"9","Christianity-Basic","How many commandments did Moses receive?","Moses received the Ten Commandments on Mount Sinai. They're like the essential rules for a good life, given directly from God. Foundational stuff!\n"
"10","Christianity-Basic","What is the Trinity in Christianity?","The Trinity refers to the belief that God is one being existing in three co-equal persons: the Father, the Son (Jesus Christ), and the Holy Spirit. It's a core concept, a bit like understanding that water can be ice, liquid, or steam, but it's still water!\n"
"11","Islam-Basic","What are the five pillars of Islam?","The Five Pillars of Islam are the core beliefs and practices: Shahada (declaration of faith), Salat (prayer), Zakat (charity), Sawm (fasting during Ramadan), and Hajj (pilgrimage to Mecca). They're like the essential framework of a Muslim's life.\n"
"12","Islam-Basic","What is the holy book of Islam?","The holy book of Islam is the Quran. Muslims believe it contains the direct words of God revealed to the Prophet Muhammad. It's their guide for life, full of wisdom and guidance.\n"
"13","Islam-Basic","Who is the prophet of Islam?","The prophet of Islam is Muhammad. Muslims believe he was the last prophet sent by God. He's deeply revered and respected.\n"
"14","Islam-Basic","What direction do Muslims face when praying?","Muslims face the Kaaba in Mecca when they pray. It's the holiest place in Islam and the center of their spiritual focus. Think of it as a compass pointing towards the divine!\n"
"15","Islam-Basic","What is the holy month of fasting called?","The holy month of fasting in Islam is called Ramadan. It's a time for reflection, prayer, and spiritual growth. Like a month-long spiritual tune-up!\n"
"16","Islam-Basic","How many times a day do Muslims pray?","Muslims pray five times a day. These prayers are a way to connect with God throughout the day. Think of them as regular spiritual check-ins!\n"
"17","Islam-Basic","What is the Islamic declaration of faith called?","The Islamic declaration of faith is called the Shahada. It's the belief that \"
"18","Islam-Basic","What are the two main branches of Islam?","The two main branches of Islam are Sunni and Shia. They have different perspectives on leadership and some religious practices. A bit like different schools of thought within the same faith.\n"
"19","Islam-Basic","What is the pilgrimage to Mecca called?","The pilgrimage to Mecca is called the Hajj. It's a journey that Muslims who are able to undertake at least once in their lifetime. Think of it as the ultimate spiritual journey for Muslims!\n"
"20","Islam-Basic","What does 'Allah' mean?","\"
"21","Hinduism-Basic","What are the four Vedas?","[Error: Could not parse response]"
